ESCUELA PROFESIONAL,MINIMO_PREDICHO,PROMEDIO_PREDICHO,MAXIMO_PREDICHO,VACANTES_ESTIMADAS,TOTAL_POSTULANTES,TASA_INGRESO_ESTIMADA
ADMINISTRACION - HUARAL,534.7500000000225,715.2750000000224,923.7500000000223,10,11,90.9090909090909
ADMINISTRACION - LIMA,967.1250000000139,1045.5662650602549,1265.7500000000139,83,524,15.839694656488549
ADMINISTRACION - S.J.L,872.2500000000193,907.6625000000195,972.7500000000193,10,36,27.77777777777778
ADMINISTRACION DE LA GASTRONOMIA,955.6250000000186,1017.0312500000186,1164.1250000000186,12,130,9.230769230769232
ADMINISTRACION DE NEGOCIOS INTERNACIONALES - HUARAL,766.7500000000182,913.0972222222404,1065.1250000000182,9,31,29.03225806451613
ADMINISTRACION DE NEGOCIOS INTERNACIONALES - LIMA,1075.6250000000127,1150.052083333346,1329.1250000000127,48,914,5.25164113785558
ADMINISTRACION DE NEGOCIOS INTERNACIONALES - S.J.L,906.0000000000184,964.041666666685,1064.1250000000184,9,59,15.254237288135593
ADMINISTRACION DE TURISMO - HUARAL,722.3750000000191,820.8250000000191,1010.5000000000189,10,18,55.55555555555556
ADMINISTRACION DE TURISMO - LIMA,863.7500000000127,973.9250000000129,1284.5000000000127,45,160,28.125
ADMINISTRACION DE TURISMO - S.J.L,704.3750000000218,788.2500000000216,869.5000000000216,10,23,43.47826086956522
ADMINISTRACION MARITIMA Y PORTUARIA,952.8750000000141,1059.0454545454684,1314.5000000000136,11,119,9.243697478991598
ADMINISTRACION MARITIMA Y PORTUARIA - HUARAL,757.750000000023,832.2395833333561,975.6250000000227,12,37,32.432432432432435
ANTROPOLOGIA,860.3750000000109,943.282608695663,1084.000000000011,23,61,37.704918032786885
ARQUEOLOGIA,893.5000000000123,998.9293478260992,1125.250000000012,23,96,23.958333333333336
ARQUITECTURA Y URBANISMO,1072.1250000000146,1153.7375000000147,1281.7500000000146,20,589,3.395585738539898
ARTE,789.0000000000161,861.2352941176632,939.1250000000161,17,48,35.41666666666667
AUDITORIA EMPRESARIAL Y DEL SECTOR PUBLICO - LIMA,870.5000000000086,953.8178571428657,1130.3750000000086,35,112,31.25
AUDITORIA EMPRESARIAL Y DEL SECTOR PUBLICO - S.J.L,492.62500000001535,729.6770833333486,914.6250000000152,12,12,100.0
BIBLIOTECOLOGIA Y CIENCIAS DE LA INFORMACION,718.125000000015,835.4416666666817,919.750000000015,15,27,55.55555555555556
CIENCIA DE LA COMPUTACION,1065.875000000003,1131.2250000000029,1207.500000000003,15,114,13.157894736842104
CIENCIA POLITICA,1058.5000000000034,1125.3048780487836,1371.3750000000032,41,397,10.327455919395465
CIENCIAS BIOLOGICAS,898.0000000000136,1012.7700000000136,1327.8750000000134,25,163,15.337423312883436
CIENCIAS DE LOS ALIMENTOS,1000.2500000000057,1057.6250000000057,1115.3750000000057,10,45,22.22222222222222
COMPUTACION CIENTIFICA,699.3750000000123,840.0052083333456,1193.250000000012,48,79,60.75949367088608
COMUNICACION SOCIAL,1104.7500000000057,1179.38194444445,1258.8750000000055,18,310,5.806451612903226
CONSERVACION Y RESTAURACION,826.3750000000118,893.2291666666785,970.0000000000118,12,46,26.08695652173913
CONTABILIDAD - HUARAL,674.2500000000191,783.2250000000189,932.8750000000189,20,38,52.63157894736842
CONTABILIDAD - LIMA,923.7500000000055,1016.0281862745152,1245.6250000000055,102,476,21.428571428571427
CONTABILIDAD - S.J.L,786.6250000000109,878.7437500000109,1117.875000000011,20,50,40.0
CRIMINALISTICA FINANCIERA FORENSE,858.5000000000091,932.2250000000091,1131.0000000000089,40,160,25.0
DANZA,977.6879999999862,1044.7188333333197,1102.2499999999864,6,10,60.0
DERECHO,1143.0000000000016,1225.0147058823545,1485.0000000000016,136,2107,6.4546748932131
ECONOMIA,1092.7499999999977,1172.1071428571406,1439.8749999999975,77,689,11.175616835994195
ECONOMIA INTERNACIONAL,906.6250000000014,1003.3400735294131,1244.6250000000014,68,229,29.694323144104807
ECONOMIA PUBLICA,916.8749999999964,1035.2089843749964,1235.4999999999964,64,170,37.64705882352941
EDUCACION FISICA,919.2629999999956,1000.8306909090866,1139.0869999999957,55,173,31.79190751445087
EDUCACION INICIAL,911.6250000000146,993.9895833333479,1148.1250000000146,12,164,7.317073170731707
EDUCACION PRIMARIA,952.8750000000095,1042.2812500000098,1136.0000000000098,12,112,10.714285714285714
EDUCACION SECUNDARIA,941.250000000002,1033.275000000002,1313.0000000000018,60,328,18.29268292682927
ENFERMERIA,1080.7499999999998,1176.3423913043478,1605.3749999999995,46,587,7.836456558773425
